property_name,society,address,price,rate_per_sqft,total_area_sqft,area_type,bedRoom,bathroom,balcony,additionalRoom,current_floor,total_floors,facing,furnish_status,furnishDetails,features,rating,area_sqft,Environment,Safety,Lifestyle,Connectivity,Green Area,Amenitie,Management,Construction,avg_rating
2BHKFlatinKrishnaColony,maa bhagwati residency,"Krishna Colony, Gurgaon, Haryana",4500000.0,5000.0,900.0,Carpet area,2.0,2.0,1.0,None,4.0,4.0,West,Semi-Furnished,"['3 Fan', '4 Light', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Visitor Parking']",4.0,900.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2BHKFlatinAshokVihar,Apna Enclave,"46b, Ashok Vihar, Gurgaon, Haryana",5000000.0,7692.0,650.0,Carpet area,2.0,2.0,1.0,None,1.0,3.0,West,Semi-Furnished,"['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '3 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.0,650.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.25
2BHKFlatinSohna,Tulsiani Easy in Homes,"Sohna, Gurgaon, Haryana",4000000.0,6722.0,595.0,Carpet area,2.0,2.0,3.0,None,12.0,14.0,Unknown,Unfurnished,Not Specified,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",4.0,595.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.25
2BHKFlatinSector61Gurgaon,Smart World Orchard,"Sector 61 Gurgaon, Gurgaon, Haryana",6500000.0,12250.0,1200.0,Carpet area,2.0,2.0,2.0,Study Room,2.0,4.0,Unknown,Unfurnished,Not Specified,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",4.5,1200.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
2BHKFlatinSector92Gurgaon,Parkwood Westend,"Sector 92 Gurgaon, Gurgaon, Haryana",7000000.0,5204.0,1345.0,Unknown,2.0,2.0,3.0,Study Room,5.0,8.0,Unknown,Unfurnished,[],Not Mentioned,5.0,1345.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2BHKFlatinSector36Gurgaon,Signature Global Infinity Mall,"Sohna Sector 36, Sector 36 Gurgaon, Gurgaon, Haryana",4100000.0,6269.0,654.0,Built Up area,2.0,2.0,3.0,None,3.0,3.0,Unknown,Unfurnished,Not Specified,Not Mentioned,4.5,654.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
3BHKFlatinDwarkaExpresswayGurgaon,The Cocoon,"Dwarka Expressway Gurgaon, Gurgaon, Haryana",6500000.0,13333.0,1500.0,Unknown,3.0,3.0,3.0,None,5.0,25.0,Unknown,Unfurnished,[],Not Mentioned,4.5,1500.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
3BHKFlatinSector104Gurgaon,ATS Triumph3.9 ★,"Sector 104 Gurgaon, Gurgaon, Haryana",6500000.0,7860.0,2290.0,Carpet area,3.0,4.0,3.0,None,14.0,27.0,Unknown,Unfurnished,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",4.0,2290.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.75
2BHKFlatinSector88BGurgaon,Vatika Xpressions,"H 23, Sector 88B Gurgaon, Gurgaon, Haryana",6500000.0,8148.0,1350.0,Built Up area,2.0,4.0,3.0,Study Room,2.0,3.0,North-East,Unfurnished,Not Specified,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",4.5,1350.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
3BHKFlatinSector78Gurgaon,Raheja Revanta,"Sector 78 Gurgaon, Gurgaon, Haryana",6500000.0,16885.0,2813.0,Built Up area,3.0,3.0,2.0,Servant Room,31.0,40.0,Unknown,Unfurnished,Not Specified,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Separate entry for servant room', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",4.0,2813.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.25
